code,coding_system,entity,list_name,description
E250z00,Read,diagnostic,Alcohol abuse,Nondependent alcohol abuse NOS
Eu10211,Read,diagnostic,Alcohol abuse,[X]Alcohol addiction
8G32.00,Read,diagnostic,Alcohol abuse,Aversion therapy - alcoholism
Eu10513,Read,diagnostic,Alcohol abuse,[X]Alcoholic paranoia
E015.00,Read,diagnostic,Alcohol abuse,Alcoholic paranoia
Z4B1.00,Read,diagnostic,Alcohol abuse,Alcoholism counselling
F25B.00,Read,diagnostic,Alcohol abuse,Alcohol-induced epilepsy
136T.00,Read,diagnostic,Alcohol abuse,Harmful alcohol use
E231.00,Read,diagnostic,Alcohol abuse,Chronic alcoholism
E250300,Read,diagnostic,Alcohol abuse,Nondependent alcohol abuse in remission
F394100,Read,diagnostic,Alcohol abuse,Alcoholic myopathy
Eu10800,Read,diagnostic,Alcohol abuse,[X]Alcohol withdrawal-induced seizure
66e0.00,Read,diagnostic,Alcohol abuse,Alcohol abuse monitoring
E231z00,Read,diagnostic,Alcohol abuse,Chronic alcoholism NOS
E01y.00,Read,diagnostic,Alcohol abuse,Other alcoholic psychosis
F144000,Read,diagnostic,Alcohol abuse,Cerebellar ataxia due to alcoholism
E230z00,Read,diagnostic,Alcohol abuse,Acute alcoholic intoxication in alcoholism NOS
F11x011,Read,diagnostic,Alcohol abuse,Alcoholic encephalopathy
Eu10712,Read,diagnostic,Alcohol abuse,[X]Chronic alcoholic brain syndrome
E012000,Read,diagnostic,Alcohol abuse,Chronic alcoholic brain syndrome
1B1c.00,Read,diagnostic,Alcohol abuse,Alcohol induced hallucinations
Eu10200,Read,diagnostic,Alcohol abuse,[X]Mental and behav dis due to use alcohol: dependence syndr
Eu10600,Read,diagnostic,Alcohol abuse,[X]Mental and behav dis due to use alcohol: amnesic syndrome
E230000,Read,diagnostic,Alcohol abuse,"Acute alcoholic intoxication, unspecified, in alcoholism"
E011z00,Read,diagnostic,Alcohol abuse,Alcohol amnestic syndrome NOS
Z191.00,Read,diagnostic,Alcohol abuse,Alcohol detoxification
E231000,Read,diagnostic,Alcohol abuse,Unspecified chronic alcoholism
Eu10y00,Read,diagnostic,Alcohol abuse,[X]Men & behav dis due to use alcohol: oth men & behav dis
F11x000,Read,diagnostic,Alcohol abuse,Cerebral degeneration due to alcoholism
E012.00,Read,diagnostic,Alcohol abuse,Other alcoholic dementia
7P22100,Read,diagnostic,Alcohol abuse,Delivery of rehabilitation for alcohol addiction
E230100,Read,diagnostic,Alcohol abuse,Continuous acute alcoholic intoxication in alcoholism
E230.11,Read,diagnostic,Alcohol abuse,Alcohol dependence with acute alcoholic intoxication
E014.00,Read,diagnostic,Alcohol abuse,Pathological alcohol intoxication
E230300,Read,diagnostic,Alcohol abuse,"Acute alcoholic intoxication in remission, in alcoholism"
Eu10700,Read,diagnostic,Alcohol abuse,[X]Men & behav dis due alcoh: resid & late-onset psychot dis
Eu10400,Read,diagnostic,Alcohol abuse,[X]Men & behav dis due alcohl: withdrawl state with delirium
Eu10z00,Read,diagnostic,Alcohol abuse,[X]Ment & behav dis due use alcohol: unsp ment & behav dis
C150500,Read,diagnostic,Alcohol abuse,Alcohol-induced pseudo-Cushing's syndrome
Eu10512,Read,diagnostic,Alcohol abuse,[X]Alcoholic jealousy
E01z.00,Read,diagnostic,Alcohol abuse,Alcoholic psychosis NOS
8HkG.00,Read,diagnostic,Alcohol abuse,Referral to specialist alcohol treatment service
136W.00,Read,diagnostic,Alcohol abuse,Alcohol misuse
8IEA.00,Read,diagnostic,Alcohol abuse,Referral to community alcohol team declined
8W2..00,Read,diagnostic,Alcohol abuse,Refer to MH services deferred until alcohol misuse resolved
