code,coding_system,entity,list_name,description
E247.00,Read,diagnostic,Substance misuse,Other specified drug dependence
Eu19300,Read,diagnostic,Substance misuse,[X]Mental and behav dis mlti/oth psychoa sbs: withdrwl state
U1A5.11,Read,symptom,Substance misuse,[X]Accidental poisoning with heroin
Eu11y00,Read,diagnostic,Substance misuse,[X]Men & behav dis due to use opioids: oth men & behav dis
E243200,Read,diagnostic,Substance misuse,"Cannabis dependence, episodic"
Eu18200,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to vol solvents: dependence synd
E257100,Read,diagnostic,Substance misuse,"Nondependent amphetamine/psychostimulant abuse, continuous"
E259300,Read,diagnostic,Substance misuse,Nondependent mixed drug abuse in remission
E25y300,Read,diagnostic,Substance misuse,Nondependent other drug abuse in remission
E259200,Read,diagnostic,Substance misuse,"Nondependent mixed drug abuse, episodic"
E259.00,Read,diagnostic,Substance misuse,Nondependent mixed drug abuse
E249100,Read,diagnostic,Substance misuse,"Combined drug dependence, excluding opioid, continuous"
8AA..00,Read,diagnostic,Substance misuse,Drug abuse monitoring
E25y100,Read,diagnostic,Substance misuse,"Nondependent other drug abuse, continuous"
Eu16500,Read,diagnostic,Substance misuse,[X]Mental & behav dis due to hallucinogens: psychotic disord
Eu16300,Read,diagnostic,Substance misuse,[X]Mental and behav dis due hallucinogens: withdrawal state
E248000,Read,diagnostic,Substance misuse,"Combined opioid with other drug dependence, unspecified"
E259000,Read,diagnostic,Substance misuse,"Nondependent mixed drug abuse, unspecified"
Eu12200,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to cannabinoids: dependence synd
Eu15z00,Read,diagnostic,Substance misuse,[X]Ment/beh dis oth stims inc caffeine: unsp ment/behav disd
Eu19700,Read,diagnostic,Substance misuse,[X]Men/beh dis mlt drg use/oth subs: resid/late psychot dis
Eu12700,Read,diagnostic,Substance misuse,[X]Mnt/bh dis due cannabinds: resid & late-onset psychot dis
9HC1.00,Read,diagnostic,Substance misuse,Follow up substance misuse assessment
E255100,Read,diagnostic,Substance misuse,"Nondependent opioid abuse, continuous"
9G2Z.00,Read,diagnostic,Substance misuse,Drug addiction notif NOS
E256300,Read,diagnostic,Substance misuse,Nondependent cocaine abuse in remission
Eu18100,Read,diagnostic,Substance misuse,[X]Mental and behav dis due volatile solvents: harmful use
E246z00,Read,diagnostic,Substance misuse,Glue sniffing dependence NOS
E247000,Read,diagnostic,Substance misuse,"Other specified drug dependence, unspecified"
Z1Q6200,Read,diagnostic,Substance misuse,Methadone maintenance
9G23.00,Read,diagnostic,Substance misuse,Drug addict re-notif to CMO
Eu1A000,Read,diagnostic,Substance misuse,[X]Ment behav dis due use crack cocaine: acute intoxication
8I2N.00,Read,diagnostic,Substance misuse,Drug dependence home detoxification contraindicated
Eu13300,Read,diagnostic,Substance misuse,[X]Mental and behav dis due seds/hypntcs: withdrawal state
SL50.00,Read,diagnostic,Substance misuse,Opiate and narcotic poisoning
Eu18400,Read,diagnostic,Substance misuse,[X]Men & beh dis vol solvents: withdrawal state wth delirium
9k50.00,Read,diagnostic,Substance misuse,Drug misuse - enhanced service completed
E249200,Read,diagnostic,Substance misuse,"Combined drug dependence, excluding opioid, episodic"
E259100,Read,diagnostic,Substance misuse,"Nondependent mixed drug abuse, continuous"
Eu19100,Read,diagnostic,Substance misuse,[X]Mental and behav dis mlti drg/oth psychoa sbs: harmfl use
E25y000,Read,diagnostic,Substance misuse,"Nondependent other drug abuse, unspecified"
L183100,Read,diagnostic,Substance misuse,Drug dependence during pregnancy - baby delivered
E248100,Read,diagnostic,Substance misuse,"Combined opioid with other drug dependence, continuous"
E248200,Read,diagnostic,Substance misuse,"Combined opioid with other drug dependence, episodic"
Eu12y00,Read,diagnostic,Substance misuse,[X]Men/behav dis due to use cannabinoids: oth men/behav disd
E25yz00,Read,diagnostic,Substance misuse,Nondependent other drug abuse NOS
E256z00,Read,diagnostic,Substance misuse,Nondependent cocaine abuse NOS
E255200,Read,diagnostic,Substance misuse,"Nondependent opioid abuse, episodic"
L183.11,Read,diagnostic,Substance misuse,Pregnancy and drug dependence
E25y200,Read,diagnostic,Substance misuse,"Nondependent other drug abuse, episodic"
Eu12z00,Read,diagnostic,Substance misuse,[X]Ment/behav dis due use cannabinoids: unsp ment/behav disd
Eu12300,Read,diagnostic,Substance misuse,[X]Mental and behav dis due cannabinoids: withdrawal state
Eu16200,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to hallucinogens: dependence syn
9G24.00,Read,diagnostic,Substance misuse,Drug addict-notify local SMR22
Eu19400,Read,diagnostic,Substance misuse,[X]Mnt/bh dis mlti drg use/oth psy sbs: wthdr state + dlrium
L183300,Read,diagnostic,Substance misuse,Drug dependence during pregnancy - baby not yet delivered
E253300,Read,diagnostic,Substance misuse,Nondependent hallucinogen abuse in remission
Eu16100,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use hallucinogens: harmfl use
Eu14300,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use cocaine: withdrawal state
E245z00,Read,diagnostic,Substance misuse,Hallucinogen dependence NOS
Eu13500,Read,diagnostic,Substance misuse,[X]Mental & behav dis due to seds/hypntcs: psychotic disordr
E255z00,Read,diagnostic,Substance misuse,Nondependent opioid abuse NOS
9G22.00,Read,diagnostic,Substance misuse,Drug addict re-notific due
Eu19z00,Read,diagnostic,Substance misuse,[X]Ment/beh dis multi drug use/oth psy sbs unsp mnt/beh dis
E253000,Read,diagnostic,Substance misuse,"Nondependent hallucinogen abuse, unspecified"
E245100,Read,diagnostic,Substance misuse,"Hallucinogen dependence, continuous"
E249z00,Read,diagnostic,Substance misuse,"Combined drug dependence, excluding opioid, NOS"
E245.12,Read,diagnostic,Substance misuse,Lysergic acid diethylamide dependence
E247200,Read,diagnostic,Substance misuse,"Other specified drug dependence, episodic"
9HC3.00,Read,diagnostic,Substance misuse,Substance misuse clinical management plan reviewed
E245200,Read,diagnostic,Substance misuse,"Hallucinogen dependence, episodic"
E248z00,Read,diagnostic,Substance misuse,Combined opioid with other drug dependence NOS
1T0..00,Read,diagnostic,Substance misuse,H/O heroin misuse
1T43.00,Read,diagnostic,Substance misuse,Previous history of amphetamine misuse
1T53.00,Read,diagnostic,Substance misuse,Previous history of cocaine misuse
1T9..00,Read,diagnostic,Substance misuse,H/O solvent misuse
8Hl5.00,Read,diagnostic,Substance misuse,Referral to drugs therapist
1T63.00,Read,diagnostic,Substance misuse,Previous history of crack cocaine misuse
1TF..00,Read,diagnostic,Substance misuse,Does not use heroin on top of substitution therapy
1T...00,Read,diagnostic,Substance misuse,History of substance misuse
1T00.00,Read,diagnostic,Substance misuse,H/O daily heroin misuse
Eu1A100,Read,diagnostic,Substance misuse,[X]Mental behav disorders due use crack cocaine: harmful use
1TD..00,Read,diagnostic,Substance misuse,H/O opiate misuse
1TE..00,Read,diagnostic,Substance misuse,Uses heroin on top of substitution therapy
1T52.00,Read,diagnostic,Substance misuse,H/O infrequent cocaine misuse
1T02.00,Read,diagnostic,Substance misuse,Previous history of heroin misuse
1TD0.00,Read,diagnostic,Substance misuse,H/O daily opiate misuse
1T42.00,Read,diagnostic,Substance misuse,H/O infrequent amphetamine misuse
1T41.00,Read,diagnostic,Substance misuse,H/O weekly amphetamine misuse
1T62.00,Read,diagnostic,Substance misuse,H/O infrequent crack cocaine misuse
1T03.00,Read,diagnostic,Substance misuse,H/O infrequent heroin misuse
1T93.00,Read,diagnostic,Substance misuse,Previous history of solvent misuse
1T51.00,Read,diagnostic,Substance misuse,H/O weekly cocaine misuse
8BE0.00,Read,diagnostic,Substance misuse,Reinduction to methadone maintenance therapy
1T61.00,Read,diagnostic,Substance misuse,H/O weekly crack cocaine misuse
1TD2.00,Read,diagnostic,Substance misuse,H/O infrequent opiate misuse
1TD3.00,Read,diagnostic,Substance misuse,Previous history of opiate misuse
E249000,Read,diagnostic,Substance misuse,"Combined drug dependence, excluding opioid, unspecified"
9HC5.00,Read,diagnostic,Substance misuse,Substance misuse treatment programme completed
Eu1Az00,Read,diagnostic,Substance misuse,[X]Ment behav dis due crack cocaine: unsp ment and behav dis
Eu11z00,Read,diagnostic,Substance misuse,[X]Ment & behav dis due use opioids: unsp ment & behav dis
9HC4.00,Read,diagnostic,Substance misuse,Substance misuse treatment withdrawn
Eu16z00,Read,diagnostic,Substance misuse,[X]Ment/behav dis due use hallucinogens: unsp ment/behav dis
E245000,Read,diagnostic,Substance misuse,"Hallucinogen dependence, unspecified"
Eu19y00,Read,diagnostic,Substance misuse,[X]Men/beh dis mlt drg use/oth psy sbs: oth men & behav dis
Eu13100,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use seds/hypntcs: harmful use
13cM.00,Read,diagnostic,Substance misuse,Substance misuse
1T01.00,Read,diagnostic,Substance misuse,H/O weekly heroin misuse
8HkF.00,Read,diagnostic,Substance misuse,Referral to substance misuse service
8B2T.00,Read,diagnostic,Substance misuse,Opioid antagonist therapy
8B2S.00,Read,diagnostic,Substance misuse,Opioid agonist substitution therapy
E258z00,Read,diagnostic,Substance misuse,Nondependent antidepressant type drug abuse NOS
8Hh1.00,Read,diagnostic,Substance misuse,Self referral to substance misuse service
1T90.00,Read,diagnostic,Substance misuse,H/O daily solvent misuse
Z1Q6214,Read,diagnostic,Substance misuse,Heroin maintenance
E255300,Read,diagnostic,Substance misuse,Nondependent opioid abuse in remission
E253100,Read,diagnostic,Substance misuse,"Nondependent hallucinogen abuse, continuous"
E253200,Read,diagnostic,Substance misuse,"Nondependent hallucinogen abuse, episodic"
L183z00,Read,diagnostic,Substance misuse,Drug dependence during pregnancy/childbirth/puerperium NOS
9HC6.00,Read,diagnostic,Substance misuse,Substance misuse treatment declined
677T.00,Read,diagnostic,Substance misuse,Substance misuse structured counselling
1V65.00,Read,diagnostic,Substance misuse,Heroin misuse
1V6..00,Read,symptom,Substance misuse,Drug-related offending behaviour
E246100,Read,diagnostic,Substance misuse,"Glue sniffing dependence, continuous"
Eu11400,Read,diagnostic,Substance misuse,[X]Men & behav dis due opioid: withdrawl state with delirium
Eu12600,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use cannabinoids: amnesic syn
9k51.00,Read,diagnostic,Substance misuse,Shared care drug misuse treatment - enhanced services admin
9k52.00,Read,diagnostic,Substance misuse,Drug misuse treatment primary care - enhanced services admin
1V02.00,Read,diagnostic,Substance misuse,Poly-drug misuser
9No5.00,Read,diagnostic,Substance misuse,Seen in substance misuse clinic
9kS..00,Read,diagnostic,Substance misuse,Drug misuse assessment declined - enhanced services administ
1V01.00,Read,diagnostic,Substance misuse,Long-term drug misuser
9k53.00,Read,diagnostic,Substance misuse,Pharmacy attended for drug misuse - enhanced services admin
Eu18500,Read,diagnostic,Substance misuse,[X]Mental & behav dis due to vol solvents: psychotic disordr
1V0C.00,Read,diagnostic,Substance misuse,Drug addict
1T91.00,Read,diagnostic,Substance misuse,H/O weekly solvent misuse
8Hq..00,Read,diagnostic,Substance misuse,Admission to substance misuse detoxification centre
Z1Q6212,Read,diagnostic,Substance misuse,Methadone therapy
1V0E.00,Read,diagnostic,Substance misuse,Health problem secondary to drug misuse
1TD1.00,Read,diagnostic,Substance misuse,H/O weekly opiate misuse
1V07.00,Read,diagnostic,Substance misuse,Notified addict
Eu1A300,Read,diagnostic,Substance misuse,[X]Mental behav disord due crack cocaine: withdrawal state
R10B200,Read,symptom,Substance misuse,[D]Finding of psychotropic drug in blood
SL97011,Read,diagnostic,Substance misuse,Amphetamine poisoning
E244z11,Read,diagnostic,Substance misuse,Amfetamine or psychostimulant dependence NOS
Eu1A500,Read,diagnostic,Substance misuse,[X]Mental behav disord due crack cocaine: psychotic disorder
Eu1A200,Read,diagnostic,Substance misuse,[X]Mental behav disorders due use crack cocaine: depend synd
Eu14700,Read,diagnostic,Substance misuse,[X]Men & beh dis due cocaine: resid & late-onset psychot dis
9k51.11,Read,diagnostic,Substance misuse,Shared care drug misuse treatment
1V35.00,Read,symptom,Substance misuse,Shares drug equipment
1V0B.00,Read,symptom,Substance misuse,Sniffs drugs
Eu11600,Read,diagnostic,Substance misuse,[X]Mental and behav dis due to use opioids: amnesic syndrome
1V0A.00,Read,symptom,Substance misuse,Chases the dragon
Eu16700,Read,diagnostic,Substance misuse,[X]Mnt/bh dis due hallucngns: resid & late-onset psychot dis
1V08.00,Read,symptom,Substance misuse,Smokes drugs in cigarette form
9s...00,Read,diagnostic,Substance misuse,Drug misuse clinic administration
Eu19600,Read,diagnostic,Substance misuse,[X]Mental/behav dis multi drg use/oth psy sbs: amnesic syndr
9N1yJ00,Read,diagnostic,Substance misuse,Seen in drug misuse clinic
1V09.00,Read,symptom,Substance misuse,Smokes drugs through a pipe
9NX2.00,Read,diagnostic,Substance misuse,In-house substance misuse treatment
E244011,Read,diagnostic,Substance misuse,"Amfetamine or psychostimulant dependence, unspecified"
13cM000,Read,diagnostic,Substance misuse,Novel psychoactive substance misuse
1T92.00,Read,diagnostic,Substance misuse,H/O infrequent solvent misuse
1V30.00,Read,symptom,Substance misuse,Injects drugs subcutaneously
1TG..00,Read,diagnostic,Substance misuse,H/O novel psychoactive substance misuse
9HCC.00,Read,diagnostic,Substance misuse,On substance misuse programme
9HCA.00,Read,diagnostic,Substance misuse,Substance misuse monitoring 6 month review
9k52.11,Read,diagnostic,Substance misuse,Drug misuse treatment in primary care
9k53.11,Read,diagnostic,Substance misuse,Pharmacy attended for drug misuse
9HC9.00,Read,diagnostic,Substance misuse,Substnce misse treatmnt pgme del other healththcare provider
